fitness                   size
-------------------     -------------------
gen     nevals  avg     max     min     avg     max     min
0       150     38.7867 499     7       3.58    7       2
1       79      56.3267 499     7       3.76    8       1
2       93      56.5933 499     7       3.77333 8       1
3       77      93.2933 499     7       3.74667 8       1
4       82      131.613 499     7       3.61333 8       1
5       80      174.08  499     7       3.32667 9       1
6       82      223.473 499     7       3.16667 7       1
7       77      249.593 499     7       3.24667 7       1
8       94      251.653 499     7       3.39333 9       1
9       76      302.527 499     8       3.38    7       1
10      89      296.827 499     7       3.69333 11      1
11      88      322.26  499     7       3.62667 9       1
12      89      295.34  499     7       3.76667 9       1
13      83      348.46  499     7       3.62667 9       2
14      74      336.327 499     7       3.62    11      3
15      93      311.013 499     7       3.62    10      1
16      83      337.007 499     7       3.4     8       3
17      85      355.8   499     8       3.12    5       1
18      84      332.687 499     7       3.23333 9       1
19      89      345.487 499     7       3.35333 9       1
20      93      349.053 499     7       3.29333 8       1
21      85      347.307 499     7       3.17333 8       1
22      77      360.613 499     8       3.32667 9       1
23      77      369.127 499     7       3.08    6       1
24      63      401.633 499     8       3.19333 9       1
25      84      335.893 499     7       3.34667 9       1
26      95      366.48  499     7       3.3     9       1
27      80      392.707 499     9       3.40667 11      3
28      72      392.14  499     8       3.21333 9       1
29      88      374.953 499     7       3.32    9       1
30      94      343.84  499     7       3.3     9       1
31      85      358.927 499     8       3.30667 9       2
32      77      340.44  499     7       3.26667 7       1
33      87      354.62  499     7       3.47333 11      1
34      81      369.413 499     7       3.72    10      3
35      87      386.4   499     7       3.92667 10      1
36      81      372.3   499     7       3.95333 11      2
37      76      392.913 499     7       4.04667 10      1
38      76      402.2   499     8       4.22    10      1
39      84      379.413 499     7       4.54    10      3
40      88      383.76  499     7       4.53333 13      1
[[<deap.gp.Primitive object at 0x7f4b53175cc8>, <deap.gp.Primitive object at 0x7f4b53175228>, <deap.gp.Terminal object at 0x7f4b5316dd80>, <deap.gp.Terminal object at 0x7f4b5316de58>]]



add(av, theta)
