fitness                           size
------------------------------- -------------------------------
gen     nevals  avg     max     min     std     avg     max     min     std
0       400     9.1975  66      7       5.77135 3.605   7       2       1.54886
1       221     10.0975 79      7       7.04187 3.6725  10      1       1.62026
2       230     11.8025 79      7       10.2471 4.06    11      1       1.90168
3       215     13.8875 137     7       13.6404 4.7025  16      1       2.3736
4       195     19.2675 223     7       25.0355 5.1325  13      1       2.36959
5       208     27.455  268     7       36.8626 5.7025  13      1       2.19863
6       230     30.295  238     7       37.053  5.865   13      1       2.26203
7       221     39.4075 238     7       46.0858 5.9325  13      1       2.20407
8       219     47.7375 298     7       55.2413 5.9125  14      1       2.14589
9       210     60.535  371     7       67.8096 5.9275  13      1       2.10053
10      210     68.9375 371     7       75.803  5.9325  13      1       1.98946
11      195     80.87   371     7       79.8939 6.0875  14      1       1.98994
12      220     85.8325 371     7       90.8942 6.42    15      2       2.27236
13      236     93.8725 371     7       100.925 6.795   19      1       2.62259
14      213     103.74  371     7       104.617 7.255   18      1       2.7313
15      226     103.903 371     7       111.983 7.545   18      1       2.80944
16      219     124.123 371     7       123.764 7.9475  23      1       3.14718
17      227     127.855 371     7       136.371 8.28    21      2       2.94391
18      217     132.455 371     7       141.16  8.72    17      1       2.71507
19      222     141.507 371     7       144.665 8.9775  17      1       2.71238
20      223     133.97  371     7       146.031 9.22    18      1       2.7462
21      219     144.433 499     7       152.932 9.445   21      1       2.58785
22      215     151.928 499     7       152.757 9.285   21      3       2.4837
23      222     149.618 379     7       159.014 9.17    26      1       2.40751
24      239     138.005 499     7       152.444 9.2775  26      1       2.64017
25      233     143.6   499     7       156.915 9.3975  25      4       2.49088
26      223     140.195 499     7       156.444 9.3275  26      1       2.62207
27      233     129.195 499     7       149.163 9.4725  25      1       2.64277
28      198     149.365 499     7       157.391 9.4175  25      2       2.55014
29      217     157.132 499     7       159.389 9.3675  25      1       2.58311
30      224     148.528 499     7       160.491 9.3825  25      3       2.10028
31      223     150.562 499     7       163.252 9.325   19      2       2.15392
32      252     134.61  499     7       160.935 9.33    18      1       2.42097
33      237     135.925 499     7       160.679 9.565   18      1       2.70939
34      225     149.312 499     7       168.352 10.2975 20      1       3.06415
35      225     148.808 499     7       172.481 10.3825 23      1       3.23978
36      237     161.502 499     7       183.401 10.825  23      1       3.43502
37      231     168.065 499     7       186.596 11.0175 21      1       3.44415
38      222     201.48  499     7       204.182 11.7625 24      1       3.70757
39      230     218.885 499     7       216.326 12.55   24      1       4.01964
40      242     235.865 499     7       225.955 13.7675 27      1       4.31781
[[<deap.gp.Primitive object at 0x7f429ccb3c28>, <deap.gp.Primitive object at 0x7f429ccb3c28>, <deap.gp.Primitive object at 0x7f429ccb3c28>, <deap.gp.rand101 object at 0x7f429c7e8620>, <deap.gp.Terminal object at 0x7f429ccb9d38>, <deap.gp.Terminal object at 0x7f429ccb9d38>, <deap.gp.Primitive object at 0x7f429ccb3228>, <deap.gp.Primitive object at 0x7f429ccb3cc8>, <deap.gp.Primitive object at 0x7f429ccb3228>, <deap.gp.Terminal object at 0x7f429ccb9cf0>, <deap.gp.Terminal object at 0x7f429ccb9ca8>, <deap.gp.Terminal object at 0x7f429ccb9cf0>]]



safeDiv(safeDiv(-1, cos(cos(x))), sub(sin(sub(sin(sub(sin(sin(av)), theta)), theta)), av))
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
[(0, 1), (1, 2), (1, 3), (3, 4), (4, 5), (0, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (10, 14), (8, 15), (6, 16)]
{0: 'safeDiv', 1: 'safeDiv', 2: -1, 3: 'cos', 4: 'cos', 5: 'x', 6: 'sub', 7: 'sin', 8: 'sub', 9: 'sin', 10: 'sub', 11: 'sin', 12: 'sin', 13: 'av', 14: 'theta', 15: 'theta', 16: 'av'}
