gen     nevals  avg     std     min     max
0       150     9.28    5.60609 7       70
1       99      73.8267 48.0626 8       464
2       97      261.693 175.366 7       499
3       99      278.147 179.835 7       499
4       92      296.793 183.292 7       499
5       82      300.633 195.793 8       499
6       84      299.127 198.254 7       499
7       84      312.3   184.953 7       499
8       97      285.147 183.371 8       499
9       82      308.467 196.267 7       499
10      94      288.027 186.33  7       499
11      99      284.373 177.751 8       499
12      94      289.407 187.969 7       499
13      97      294.86  182.309 8       499
14      88      300.013 190.76  7       499
15      91      318.487 173.367 8       499
16      79      319.96  191.466 7       499
17      105     275.513 175.995 8       499
18      92      294.267 190.13  8       499
19      86      315.493 181.9   8       499
20      100     290.88  181.427 8       499
21      95      296.94  185.467 8       499
22      91      313.267 177.483 7       499
23      92      319.02  183.086 7       499
24      99      327.68  183.039 7       499
25      76      351.08  186.425 7       499
26      88      349.94  183.314 7       499
27      95      331.853 178.288 7       499
28      102     315.767 185.213 7       499
29      86      380.107 167.04  9       499
30      78      382.04  168.676 8       499
31      71      407.447 156.035 7       499
32      88      374.86  177.719 7       499
33      96      377.52  165.976 7       499
34      100     342.807 191.39  7       499
35      80      423.7   138.338 8       499
36      84      411.26  146.138 20      499
37      73      397.333 165.836 8       499
38      96      380.147 177.315 7       499
39      82      405.48  157.706 7       499
40      82      402.293 165.62  7       499
[0.30503908223402904, 1.3151539691323821, -0.8622996240172507, 0.014407175785115765, 3.238322330426416, -1.012878316903003, -0.7425357774106341, 0.3310719244825623, 0.008302097969449725, 1.6507971928294283, 0.42364118296225173, 1.7175250746918642, -1.123597866529876, 0.6499850523328221, -1.2234119922723512, -1.699872041189706, 0.8389350410330739, 0.4375250665477708, -0.057013526048132604, -2.8829571165365744, 0.06944117266019484, 0.12553601823207364, -0.7876627673429704, -0.2594057574046236, 1.7587523131000902, -0.027160298932117178, -2.3376001224428453, 1.049103224094329, -0.9680965497137943, 0.8058707551678626, -1.5597591270457336, 0.42741430942109854, 1.0621446750199781, -2.241914305625275, -0.08296440902266267, -2.9636451354018285, 0.18395901064326797, 0.1942666597365376, 0.1640989005399862, -0.788267093342041, -1.9856412564575545, 0.5220217669819139, 0.8268663658514437, -1.103368379313881, -0.4674279680957085, 0.47481640724881347, 0.10974184620335292, -0.5403656630940695, 0.9646490530401199, 0.5904486136083354, 0.18476779748273356, -1.8687621919469617, 0.519370717726778, 0.5215456235459636, 0.0734209673785517](499.0,)
{'W1': array([[ 0.30503908,  1.37064645, -0.68201832,  0.01440718,  3.23832233,
        -1.01287832],
       [-1.3336564 ,  0.34686139,  0.01909135,  1.65079719,  0.57404689,
         1.71752507],
       [-1.12359787,  0.1028642 , -1.23689613, -1.70137379,  0.92563045,
         0.43752507],
       [ 0.0630793 , -2.88295712, -0.31171124,  0.05967671, -0.78766277,
        -0.25333648]]), 'W3': array([[-1.86876219],
       [ 0.51937072],
       [ 0.52154562]]), 'W2': array([[-1.55975913,  0.55226151,  1.06214468],
       [-2.24191431, -0.08296441, -2.96364514],
       [ 0.18395901,  0.19426666,  0.20106187],
       [-0.78826709, -1.98564126,  0.52134129],
       [ 0.82686637, -1.10749599, -0.46742797],
       [ 0.47481641,  0.10974185, -0.54036566]]), 'B2': array([[0.96464905, 0.59044861, 0.1847678 ]]), 'B1': array([[ 1.70667218, -0.0271603 , -2.39831319,  0.78495895, -0.96809655,
         0.80587076]]), 'B3': array([[0.07342097]])}


toolbox.register("mate",tools.cxBlend,alpha=0.5) #float
toolbox.register("mutate",tools.mutGaussian,mu=0,sigma=0.5,indpb=0.05) #mutFllipBit floatに対して津えるやつ
toolbox.register("select",tools.selLexicase)

self.network['W1'] = np.reshape(individual[:24],(4,6))
self.network['B1'] = np.reshape(individual[24:30],(1,6))
self.network['W2'] = np.reshape(individual[30:48],(6,3))
self.network['B2'] = np.reshape(individual[48:51],(1,3))
self.network['W3'] = np.reshape(individual[51:54],(3,1))
self.network['B3'] = np.reshape(individual[54:55],(1,1))
